title,url,click
전신 다이어트 유산소운동 [홈트레이닝],https://www.youtube.com/watch?v=3VouSaW_LPw,"6,576,036회"
NO 층간소음 올인원 운동 - 40분 유산소운동 홈트 - 관절에 무리없이 체지방 태우기,https://www.youtube.com/watch?v=myNjmnvI6x0,"1,702,957회"
전신 다이어트 최고의 운동 [칼소폭 찐 핵핵매운맛],https://www.youtube.com/watch?v=gMaB-fG4u4g,"3,432,283회"
Lv.4 층간소음없이 딱! 15분 체지방 100% 녹여버리는 루틴  [Noise Free 15mins Fat Burning Workout],https://www.youtube.com/watch?v=CYcLODSeC-c,"2,263,283회"
초보 홈트레이닝 여자 살빼기 운동. 다이어트 하시는 분들 딱 2주만 해보세요!,https://www.youtube.com/watch?v=JxCvhEPm0hg,"336,089회"
"(층간소음X) 역대급 홈트레이닝 루틴 공개!!!! 급찐급빠 매운맛ver. 살찐자, 확찐자 다 들어오세요ㅋㅋㅋ",https://www.youtube.com/watch?v=oG7vx7RLSHU,"796,863회"
살이 너무 빠지는 죽음의 타바타 운동 (no 층간소음) / Beautiful tabata workout,https://www.youtube.com/watch?v=4EKo44DUvjg,"9,987,911회"
"맨몸 전신운동 홈트레이닝 7가지! 초보자분들, 딱 4주만 따라해보세요! (설명+따라하기 영상)",https://www.youtube.com/watch?v=zSJYAyoojdw,"401,546회"
아랫뱃살 똥배 폭파 운동,https://www.youtube.com/watch?v=2Uv1B3kjCOI,"11,538,371회"
